City,Year,NOC,Count
Athina,1896,AUS,2
Athina,1896,AUT,2
Athina,1896,DEN,1
Athina,1896,FRA,5
Athina,1896,GBR,3
Athina,1896,GER,7
Athina,1896,GRE,10
Athina,1896,HUN,2
Athina,1896,SUI,1
Athina,1896,USA,11
Paris,1900,AUS,3
Paris,1900,BEL,6
Paris,1900,CAN,1
Paris,1900,CUB,1
Paris,1900,DEN,2
Paris,1900,ESP,1
Paris,1900,FRA,28
Paris,1900,GBR,19
Paris,1900,GER,4
Paris,1900,HAI,1
Paris,1900,HUN,1
Paris,1900,ITA,3
Paris,1900,LUX,1
Paris,1900,NED,1
Paris,1900,NZL,1
Paris,1900,SUI,6
Paris,1900,SWE,1
Paris,1900,USA,21
St. Louis,1904,AUT,2
St. Louis,1904,CAN,4
St. Louis,1904,CUB,4
St. Louis,1904,GBR,1
St. Louis,1904,GER,4
St. Louis,1904,GRE,1
St. Louis,1904,HUN,2
St. Louis,1904,NOR,2
St. Louis,1904,SUI,1
St. Louis,1904,USA,76
Athina,1906,AUT,3
Athina,1906,BEL,2
Athina,1906,CAN,1
Athina,1906,DEN,3
Athina,1906,FIN,2
Athina,1906,FRA,15
Athina,1906,GBR,8
Athina,1906,GER,4
Athina,1906,GRE,8
Athina,1906,HUN,2
Athina,1906,ITA,7
Athina,1906,NOR,1
Athina,1906,SUI,4
Athina,1906,SWE,2
Athina,1906,USA,12
London,1908,ANZ,1
London,1908,BEL,1
London,1908,CAN,3
London,1908,FIN,1
London,1908,FRA,5
London,1908,GBR,56
London,1908,GER,3
London,1908,HUN,3
London,1908,ITA,2
London,1908,NOR,2
London,1908,RSA,1
London,1908,RUS,1
London,1908,SWE,8
London,1908,USA,22
Stockholm,1912,ANZ,2
Stockholm,1912,BEL,2
Stockholm,1912,CAN,3
Stockholm,1912,DEN,1
Stockholm,1912,FIN,9
Stockholm,1912,FRA,7
Stockholm,1912,GBR,10
Stockholm,1912,GER,6
Stockholm,1912,GRE,1
Stockholm,1912,HUN,3
Stockholm,1912,ITA,5
Stockholm,1912,NOR,4
Stockholm,1912,RSA,4
Stockholm,1912,SUI,1
Stockholm,1912,SWE,24
Stockholm,1912,USA,26
Antwerpen,1920,BEL,16
Antwerpen,1920,BRA,1
Antwerpen,1920,CAN,3
Antwerpen,1920,DEN,3
Antwerpen,1920,EST,1
Antwerpen,1920,FIN,15
Antwerpen,1920,FRA,9
Antwerpen,1920,GBR,14
Antwerpen,1920,ITA,14
Antwerpen,1920,NED,4
Antwerpen,1920,NOR,10
Antwerpen,1920,RSA,3
Antwerpen,1920,SUI,2
Antwerpen,1920,SWE,19
Antwerpen,1920,USA,41
Chamonix,1924,ARG,1
Paris,1924,ARG,1
Chamonix,1924,AUS,4
Paris,1924,AUS,4
Chamonix,1924,AUT,2
Paris,1924,AUT,2
Chamonix,1924,BEL,3
Paris,1924,BEL,3
Chamonix,1924,CAN,1
Paris,1924,CAN,1
Chamonix,1924,DEN,2
Paris,1924,DEN,2
